city,citytemp,globaltemp,year,citymovingavg,globalmovingavg,Year,citymovingavg,globalmovingavg
Jacksonville,21.36,8.72,1750,21.36,8.72,1750,21.36,8.72
Jacksonville,21.65,7.98,1751,21.505,8.35,1751,21.505,8.35
Jacksonville,17.8,5.78,1752,20.27,7.493333333,1752,20.27,7.493333333
Jacksonville,21.01,8.39,1753,20.455,7.7175,1753,20.455,7.7175
Jacksonville,21.07,8.47,1754,20.578,7.868,1754,20.578,7.868
Jacksonville,19.67,8.36,1755,20.42666667,7.95,1755,20.42666667,7.95
Jacksonville,21.42,8.85,1756,20.56857143,8.078571429,1756,20.56857143,8.078571429
Jacksonville,20.85,9.02,1757,20.60375,8.19625,1757,20.60375,8.19625
Jacksonville,19.54,6.74,1758,20.48555556,8.034444444,1758,20.48555556,8.034444444
Jacksonville,20.57,7.99,1759,20.494,8.03,1759,20.494,8.03
Jacksonville,19.49,7.19,1760,20.307,7.877,1760,20.307,7.877
Jacksonville,21.39,8.77,1761,20.281,7.956,1761,20.281,7.956
Jacksonville,20.97,8.61,1762,20.598,8.239,1762,20.598,8.239
Jacksonville,19.36,7.5,1763,20.433,8.15,1763,20.433,8.15
Jacksonville,21.28,8.4,1764,20.454,8.143,1764,20.454,8.143
Jacksonville,20.99,8.25,1765,20.586,8.132,1765,20.586,8.132
Jacksonville,21.43,8.41,1766,20.587,8.088,1766,20.587,8.088
Jacksonville,20.63,8.22,1767,20.565,8.008,1767,20.565,8.008
Jacksonville,19.82,6.78,1768,20.593,8.012,1768,20.593,8.012
Jacksonville,20.77,7.69,1769,20.613,7.982,1769,20.613,7.982
Jacksonville,20.63,7.69,1770,20.727,8.032,1770,20.727,8.032
Jacksonville,21.39,7.85,1771,20.727,7.94,1771,20.727,7.94
Jacksonville,21.26,8.19,1772,20.756,7.898,1772,20.756,7.898
Jacksonville,21.33,8.22,1773,20.953,7.97,1773,20.953,7.97
Jacksonville,21.16,8.77,1774,20.941,8.007,1774,20.941,8.007
Jacksonville,21.86,9.18,1775,21.028,8.1,1775,21.028,8.1
Jacksonville,20.89,8.3,1776,20.974,8.089,1776,20.974,8.089
Jacksonville,20.62,8.26,1777,20.973,8.093,1777,20.973,8.093
Jacksonville,19.3,8.54,1778,20.921,8.269,1778,20.921,8.269
Jacksonville,16.63,8.98,1779,20.507,8.398,1779,20.507,8.398
Jacksonville,21.09,8.1,1781,20.553,8.439,1781,20.553,8.439
Jacksonville,20.66,7.9,1782,20.48,8.444,1782,20.48,8.444
Jacksonville,20.44,7.68,1783,20.398,8.393,1783,20.398,8.393
Jacksonville,20.49,7.86,1784,20.314,8.357,1784,20.314,8.357
Jacksonville,20.22,7.36,1785,20.22,8.216,1785,20.22,8.216
Jacksonville,20.78,8.26,1786,20.112,8.124,1786,20.112,8.124
Jacksonville,20.82,8.03,1787,20.105,8.097,1787,20.105,8.097
Jacksonville,21.24,8.45,1788,20.167,8.116,1788,20.167,8.116
Jacksonville,21.01,8.33,1789,20.338,8.095,1789,20.338,8.095
Jacksonville,20.9,7.98,1790,20.765,7.995,1790,20.765,7.995
Jacksonville,21.15,8.23,1791,20.771,8.008,1791,20.771,8.008
Jacksonville,20.68,8.09,1792,20.773,8.027,1792,20.773,8.027
Jacksonville,21.1,8.23,1793,20.839,8.082,1793,20.839,8.082
Jacksonville,21.24,8.53,1794,20.914,8.149,1794,20.914,8.149
Jacksonville,21.05,8.35,1795,20.997,8.248,1795,20.997,8.248
Jacksonville,20.84,8.27,1796,21.003,8.249,1796,21.003,8.249
Jacksonville,20.86,8.51,1797,21.007,8.297,1797,21.007,8.297
Jacksonville,21.49,8.67,1798,21.032,8.319,1798,21.032,8.319
Jacksonville,21.22,8.51,1799,21.053,8.337,1799,21.053,8.337
Jacksonville,21.05,8.48,1800,21.068,8.387,1800,21.068,8.387
Jacksonville,21.38,8.59,1801,21.091,8.423,1801,21.091,8.423
Jacksonville,21.57,8.58,1802,21.18,8.472,1802,21.18,8.472
Jacksonville,21.42,8.5,1803,21.212,8.499,1803,21.212,8.499
Jacksonville,21.44,8.84,1804,21.232,8.53,1804,21.232,8.53
Jacksonville,21.5,8.56,1805,21.277,8.551,1805,21.277,8.551
Jacksonville,21.12,8.43,1806,21.305,8.567,1806,21.305,8.567
Jacksonville,20.9,8.28,1807,21.309,8.544,1807,21.309,8.544
Jacksonville,20.74,7.63,1808,21.234,8.44,1808,21.234,8.44
Jacksonville,19.91,7.08,1809,21.103,8.297,1809,21.103,8.297
Jacksonville,20.01,6.92,1810,20.999,8.141,1810,20.999,8.141
Jacksonville,20.18,6.86,1811,20.879,7.968,1811,20.879,7.968
Jacksonville,19.53,7.05,1812,20.675,7.815,1812,20.675,7.815
Jacksonville,20.5,7.74,1813,20.583,7.739,1813,20.583,7.739
Jacksonville,20.24,7.59,1814,20.463,7.614,1814,20.463,7.614
Jacksonville,19.96,7.24,1815,20.309,7.482,1815,20.309,7.482
Jacksonville,19.55,6.94,1816,20.152,7.333,1816,20.152,7.333
Jacksonville,19.63,6.98,1817,20.025,7.203,1817,20.025,7.203
Jacksonville,20.29,7.83,1818,19.98,7.223,1818,19.98,7.223
Jacksonville,20.19,7.37,1819,20.008,7.252,1819,20.008,7.252
Jacksonville,20.3,7.62,1820,20.037,7.322,1820,20.037,7.322
Jacksonville,20.3,8.09,1821,20.049,7.445,1821,20.049,7.445
Jacksonville,21.19,8.19,1822,20.215,7.559,1822,20.215,7.559
Jacksonville,20.49,7.72,1823,20.214,7.557,1823,20.214,7.557
Jacksonville,21.39,8.55,1824,20.329,7.653,1824,20.329,7.653
Jacksonville,21.42,8.39,1825,20.475,7.768,1825,20.475,7.768
Jacksonville,21.42,8.36,1826,20.662,7.91,1826,20.662,7.91
Jacksonville,21.93,8.81,1827,20.892,8.093,1827,20.892,8.093
Jacksonville,22.68,8.17,1828,21.131,8.127,1828,21.131,8.127
Jacksonville,20.96,7.94,1829,21.208,8.184,1829,21.208,8.184
Jacksonville,22.21,8.52,1830,21.399,8.274,1830,21.399,8.274
Jacksonville,20.7,7.64,1831,21.439,8.229,1831,21.439,8.229
Jacksonville,21.16,7.45,1832,21.436,8.155,1832,21.436,8.155
Jacksonville,21.21,8.01,1833,21.508,8.184,1833,21.508,8.184
Jacksonville,21.84,8.15,1834,21.553,8.144,1834,21.553,8.144
Jacksonville,20.94,7.39,1835,21.505,8.044,1835,21.505,8.044
Jacksonville,20.57,7.7,1836,21.42,7.978,1836,21.42,7.978
Jacksonville,21.11,7.38,1837,21.338,7.835,1837,21.338,7.835
Jacksonville,20.7,7.51,1838,21.14,7.769,1838,21.14,7.769
Jacksonville,21.09,7.63,1839,21.153,7.738,1839,21.153,7.738
Jacksonville,21.18,7.8,1840,21.05,7.666,1840,21.05,7.666
Jacksonville,20.66,7.69,1841,21.046,7.671,1841,21.046,7.671
Jacksonville,21.05,8.02,1842,21.035,7.728,1842,21.035,7.728
Jacksonville,20.21,8.17,1843,20.935,7.744,1843,20.935,7.744
Jacksonville,20.53,7.65,1844,20.804,7.694,1844,20.804,7.694
Jacksonville,20.23,7.85,1845,20.733,7.74,1845,20.733,7.74
Jacksonville,20.73,8.55,1846,20.749,7.825,1846,20.749,7.825
Jacksonville,20.66,8.09,1847,20.704,7.896,1847,20.704,7.896
Jacksonville,20.91,7.98,1848,20.725,7.943,1848,20.725,7.943
Jacksonville,21.35,7.98,1849,20.751,7.978,1849,20.751,7.978
Jacksonville,21.31,7.9,1850,20.764,7.988,1850,20.764,7.988
Jacksonville,20.86,8.18,1851,20.784,8.037,1851,20.784,8.037
Jacksonville,20.83,8.1,1852,20.762,8.045,1852,20.762,8.045
Jacksonville,21.13,8.04,1853,20.854,8.032,1853,20.854,8.032
Jacksonville,21.06,8.21,1854,20.907,8.088,1854,20.907,8.088
Jacksonville,20.87,8.11,1855,20.971,8.114,1855,20.971,8.114
Jacksonville,20.39,8,1856,20.937,8.059,1856,20.937,8.059
Jacksonville,20.19,7.76,1857,20.89,8.026,1857,20.89,8.026
Jacksonville,20.89,8.1,1858,20.888,8.038,1858,20.888,8.038
Jacksonville,21.05,8.25,1859,20.858,8.065,1859,20.858,8.065
Jacksonville,21.15,7.96,1860,20.842,8.071,1860,20.842,8.071
Jacksonville,21.15,7.85,1861,20.871,8.038,1861,20.871,8.038
Jacksonville,21.41,7.56,1862,20.929,7.984,1862,20.929,7.984
Jacksonville,20.89,8.11,1863,20.905,7.991,1863,20.905,7.991
Jacksonville,20.59,7.98,1864,20.858,7.968,1864,20.858,7.968
Jacksonville,21.3,8.18,1865,20.901,7.975,1865,20.901,7.975
Jacksonville,20.99,8.29,1866,20.961,8.004,1866,20.961,8.004
Jacksonville,21.14,8.44,1867,21.056,8.072,1867,21.056,8.072
Jacksonville,20.66,8.25,1868,21.033,8.087,1868,21.033,8.087
Jacksonville,21.26,8.43,1869,21.054,8.105,1869,21.054,8.105
Jacksonville,20.91,8.2,1870,21.03,8.129,1870,21.03,8.129
Jacksonville,21.29,8.12,1871,21.044,8.156,1871,21.044,8.156
Jacksonville,20.43,8.19,1872,20.946,8.219,1872,20.946,8.219
Jacksonville,20.5,8.35,1873,20.907,8.243,1873,20.907,8.243
Jacksonville,20.97,8.43,1874,20.945,8.288,1874,20.945,8.288
Jacksonville,20.75,7.86,1875,20.89,8.256,1875,20.89,8.256
Jacksonville,20.57,8.08,1876,20.848,8.235,1876,20.848,8.235
Jacksonville,20.84,8.54,1877,20.818,8.245,1877,20.818,8.245
Jacksonville,20.9,8.83,1878,20.842,8.303,1878,20.842,8.303
Jacksonville,21.01,8.17,1879,20.817,8.277,1879,20.817,8.277
Jacksonville,21.52,8.12,1880,20.878,8.269,1880,20.878,8.269
Jacksonville,21.28,8.27,1881,20.877,8.284,1881,20.877,8.284
Jacksonville,21.46,8.13,1882,20.98,8.278,1882,20.98,8.278
Jacksonville,21.57,7.98,1883,21.087,8.241,1883,21.087,8.241
Jacksonville,21.14,7.77,1884,21.104,8.175,1884,21.104,8.175
Jacksonville,20.21,7.92,1885,21.05,8.181,1885,21.05,8.181
Jacksonville,20.14,7.95,1886,21.007,8.168,1886,21.007,8.168
Jacksonville,20.67,7.91,1887,20.99,8.105,1887,20.99,8.105
Jacksonville,20.91,8.09,1888,20.991,8.031,1888,20.991,8.031
Jacksonville,20.44,8.32,1889,20.934,8.046,1889,20.934,8.046
Jacksonville,21.46,7.97,1890,20.928,8.031,1890,20.928,8.031
Jacksonville,20.79,8.02,1891,20.879,8.006,1891,20.879,8.006
Jacksonville,20.4,8.07,1892,20.773,8,1892,20.773,8
Jacksonville,20.96,8.06,1893,20.712,8.008,1893,20.712,8.008
Jacksonville,21.04,8.16,1894,20.702,8.047,1894,20.702,8.047
Jacksonville,20.28,8.15,1895,20.709,8.07,1895,20.709,8.07
Jacksonville,20.95,8.21,1896,20.79,8.096,1896,20.79,8.096
Jacksonville,21.38,8.29,1897,20.861,8.134,1897,20.861,8.134
Jacksonville,21.04,8.18,1898,20.874,8.143,1898,20.874,8.143
Jacksonville,21.02,8.4,1899,20.932,8.151,1899,20.932,8.151
Jacksonville,20.95,8.5,1900,20.881,8.204,1900,20.881,8.204
Jacksonville,19.81,8.54,1901,20.783,8.256,1901,20.783,8.256
Jacksonville,20.91,8.3,1902,20.834,8.279,1902,20.834,8.279
Jacksonville,20.38,8.22,1903,20.776,8.295,1903,20.776,8.295
Jacksonville,20.4,8.09,1904,20.712,8.288,1904,20.712,8.288
Jacksonville,20.86,8.23,1905,20.77,8.296,1905,20.77,8.296
Jacksonville,20.89,8.38,1906,20.764,8.313,1906,20.764,8.313
Jacksonville,21.38,7.95,1907,20.764,8.279,1907,20.764,8.279
Jacksonville,21.27,8.19,1908,20.787,8.28,1908,20.787,8.28
Jacksonville,21.11,8.18,1909,20.796,8.258,1909,20.796,8.258
Jacksonville,20.23,8.22,1910,20.724,8.23,1910,20.724,8.23
Jacksonville,21.99,8.18,1911,20.942,8.194,1911,20.942,8.194
Jacksonville,21.14,8.17,1912,20.965,8.181,1912,20.965,8.181
Jacksonville,21.22,8.3,1913,21.049,8.189,1913,21.049,8.189
Jacksonville,20.66,8.59,1914,21.075,8.239,1914,21.075,8.239
Jacksonville,20.89,8.59,1915,21.078,8.275,1915,21.078,8.275
Jacksonville,21.16,8.23,1916,21.105,8.26,1916,21.105,8.26
Jacksonville,20.64,8.02,1917,21.031,8.267,1917,21.031,8.267
Jacksonville,21.18,8.13,1918,21.022,8.261,1918,21.022,8.261
Jacksonville,21.38,8.38,1919,21.049,8.281,1919,21.049,8.281
Jacksonville,20.41,8.36,1920,21.067,8.295,1920,21.067,8.295
Jacksonville,21.61,8.57,1921,21.029,8.334,1921,21.029,8.334
Jacksonville,21.62,8.41,1922,21.077,8.358,1922,21.077,8.358
Jacksonville,21.25,8.42,1923,21.08,8.37,1923,21.08,8.37
Jacksonville,20.74,8.51,1924,21.088,8.362,1924,21.088,8.362
Jacksonville,21.37,8.53,1925,21.136,8.356,1925,21.136,8.356
Jacksonville,20.77,8.73,1926,21.097,8.406,1926,21.097,8.406
Jacksonville,21.76,8.52,1927,21.209,8.456,1927,21.209,8.456
Jacksonville,20.72,8.63,1928,21.163,8.506,1928,21.163,8.506
Jacksonville,21.57,8.24,1929,21.182,8.492,1929,21.182,8.492
Jacksonville,20.66,8.63,1930,21.207,8.519,1930,21.207,8.519
Jacksonville,21.28,8.72,1931,21.174,8.534,1931,21.174,8.534
Jacksonville,21.88,8.71,1932,21.2,8.564,1932,21.2,8.564
Jacksonville,21.72,8.34,1933,21.247,8.556,1933,21.247,8.556
Jacksonville,21.19,8.63,1934,21.292,8.568,1934,21.292,8.568
Jacksonville,21.33,8.52,1935,21.288,8.567,1935,21.288,8.567
Jacksonville,21.15,8.55,1936,21.326,8.549,1936,21.326,8.549
Jacksonville,21.16,8.7,1937,21.266,8.567,1937,21.266,8.567
Jacksonville,21.32,8.86,1938,21.326,8.59,1938,21.326,8.59
Jacksonville,21.62,8.76,1939,21.331,8.642,1939,21.331,8.642
Jacksonville,20.15,8.76,1940,21.28,8.655,1940,21.28,8.655
Jacksonville,21.2,8.77,1941,21.272,8.66,1941,21.272,8.66
Jacksonville,20.95,8.73,1942,21.179,8.662,1942,21.179,8.662
Jacksonville,21.03,8.76,1943,21.11,8.704,1943,21.11,8.704
Jacksonville,21.26,8.85,1944,21.117,8.726,1944,21.117,8.726
Jacksonville,21.69,8.58,1945,21.153,8.732,1945,21.153,8.732
Jacksonville,21.91,8.68,1946,21.229,8.745,1946,21.229,8.745
Jacksonville,21.31,8.8,1947,21.244,8.755,1947,21.244,8.755
Jacksonville,22.06,8.75,1948,21.318,8.744,1948,21.318,8.744
Jacksonville,22.05,8.59,1949,21.361,8.727,1949,21.361,8.727
Jacksonville,21.32,8.37,1950,21.478,8.688,1950,21.478,8.688
Jacksonville,21.31,8.63,1951,21.489,8.674,1951,21.489,8.674
Jacksonville,21.31,8.64,1952,21.525,8.665,1952,21.525,8.665
Jacksonville,21.66,8.87,1953,21.588,8.676,1953,21.588,8.676
Jacksonville,21.22,8.56,1954,21.584,8.647,1954,21.584,8.647
Jacksonville,21.25,8.63,1955,21.54,8.652,1955,21.54,8.652
Jacksonville,21.17,8.28,1956,21.466,8.612,1956,21.466,8.612
Jacksonville,21.73,8.73,1957,21.508,8.605,1957,21.508,8.605
Jacksonville,20.56,8.77,1958,21.358,8.607,1958,21.358,8.607
Jacksonville,21.55,8.73,1959,21.308,8.621,1959,21.308,8.621
Jacksonville,20.76,8.58,1960,21.252,8.642,1960,21.252,8.642
Jacksonville,21.3,8.8,1961,21.251,8.659,1961,21.251,8.659
Jacksonville,21.1,8.75,1962,21.23,8.67,1962,21.23,8.67
Jacksonville,20.76,8.86,1963,21.14,8.669,1963,21.14,8.669
Jacksonville,21.19,8.41,1964,21.137,8.654,1964,21.137,8.654
Jacksonville,21.17,8.53,1965,21.129,8.644,1965,21.129,8.644
Jacksonville,20.6,8.6,1966,21.072,8.676,1966,21.072,8.676
Jacksonville,21.27,8.7,1967,21.026,8.673,1967,21.026,8.673
Jacksonville,20.4,8.52,1968,21.01,8.648,1968,21.01,8.648
Jacksonville,20.61,8.6,1969,20.916,8.635,1969,20.916,8.635
Jacksonville,20.99,8.7,1970,20.939,8.647,1970,20.939,8.647
Jacksonville,21.54,8.6,1971,20.963,8.627,1971,20.963,8.627
Jacksonville,21.71,8.5,1972,21.024,8.602,1972,21.024,8.602
Jacksonville,21.44,8.95,1973,21.092,8.611,1973,21.092,8.611
Jacksonville,21.7,8.47,1974,21.143,8.617,1974,21.143,8.617
Jacksonville,21.88,8.74,1975,21.214,8.638,1975,21.214,8.638
Jacksonville,20.59,8.35,1976,21.213,8.613,1976,21.213,8.613
Jacksonville,20.87,8.85,1977,21.173,8.628,1977,21.173,8.628
Jacksonville,20.99,8.69,1978,21.232,8.645,1978,21.232,8.645
Jacksonville,21.1,8.73,1979,21.281,8.658,1979,21.281,8.658
Jacksonville,21.08,8.98,1980,21.29,8.686,1980,21.29,8.686
Jacksonville,20.73,9.17,1981,21.209,8.743,1981,21.209,8.743
Jacksonville,22.05,8.64,1982,21.243,8.757,1982,21.243,8.757
Jacksonville,20.73,9.03,1983,21.172,8.765,1983,21.172,8.765
Jacksonville,21.16,8.69,1984,21.118,8.787,1984,21.118,8.787
Jacksonville,21.7,8.66,1985,21.1,8.779,1985,21.1,8.779
Jacksonville,22.05,8.83,1986,21.246,8.827,1986,21.246,8.827
Jacksonville,21.1,8.99,1987,21.269,8.841,1987,21.269,8.841
Jacksonville,20.81,9.2,1988,21.251,8.892,1988,21.251,8.892
Jacksonville,21.64,8.92,1989,21.305,8.911,1989,21.305,8.911
Jacksonville,22.57,9.23,1990,21.454,8.936,1990,21.454,8.936
Jacksonville,22.09,9.18,1991,21.59,8.937,1991,21.59,8.937
Jacksonville,21.25,8.84,1992,21.51,8.957,1992,21.51,8.957
Jacksonville,21.27,8.87,1993,21.564,8.941,1993,21.564,8.941
Jacksonville,21.99,9.04,1994,21.647,8.976,1994,21.647,8.976
Jacksonville,21.6,9.35,1995,21.637,9.045,1995,21.637,9.045
Jacksonville,21.07,9.04,1996,21.539,9.066,1996,21.539,9.066
Jacksonville,21.76,9.2,1997,21.605,9.087,1997,21.605,9.087
Jacksonville,22.65,9.52,1998,21.789,9.119,1998,21.789,9.119
Jacksonville,21.85,9.29,1999,21.81,9.156,1999,21.81,9.156
Jacksonville,21.31,9.2,2000,21.684,9.153,2000,21.684,9.153
Jacksonville,21.75,9.41,2001,21.65,9.176,2001,21.65,9.176
Jacksonville,21.96,9.57,2002,21.721,9.249,2002,21.721,9.249
Jacksonville,21.65,9.53,2003,21.759,9.315,2003,21.759,9.315
Jacksonville,21.68,9.32,2004,21.728,9.343,2004,21.728,9.343
Jacksonville,21.57,9.7,2005,21.725,9.378,2005,21.725,9.378
Jacksonville,22.01,9.53,2006,21.819,9.427,2006,21.819,9.427
Jacksonville,22.21,9.73,2007,21.864,9.48,2007,21.864,9.48
Jacksonville,21.67,9.43,2008,21.766,9.471,2008,21.766,9.471
Jacksonville,21.94,9.51,2009,21.775,9.493,2009,21.775,9.493
Jacksonville,20.81,9.7,2010,21.725,9.543,2010,21.725,9.543
Jacksonville,22.12,9.52,2011,21.762,9.554,2011,21.762,9.554
Jacksonville,22.23,9.51,2012,21.789,9.548,2012,21.789,9.548
Jacksonville,22.49,9.61,2013,21.873,9.556,2013,21.873,9.556
